Module 1 – All About Me
Mon autoportrait	My self-portrait
les animaux (m pl)	animals
les araignées (f pl)	spiders
la capoeira	capoeira (a Brazilian dance)
les chats (m pl)	cats
les chiens (m pl)	dogs
le cinéma	cinema
les consoles de jeux (f pl)	games consoles
la danse	dancing
le foot	football
les gâteaux (m pl)	cakes
le hard rock	hard rock
l’injustice (f) 	injustice
les insectes (m pl)	insects
les jeux vidéo (m pl)	video games
les livres (m pl)	books
la musique	music
les mangas (m pl)	mangas
les maths (m pl)	maths
les pizzas (f pl)	pizzas
la poésie	poetry
le racisme	racism
le rap	rap
le reggae	reggae
les reptiles (m pl)	reptiles
le roller	roller-skating
le rugby	rugby
le skate	skateboarding
les spaghettis (m pl)	spaghetti
le sport	sport
la tecktonik	tecktonik (dance)
la télé	TV
le tennis	tennis
le théâtre	theatre, drama
les voyages (m pl)	journeys
la violence	violence
les weekends (m pl)	weekends
	
Les opinions	Opinions
j’aime	I like
je n’aime pas	I don’t like
Tu aimes...?	Do you like...?
il/elle aime	he/she likes
Oui, j’aime ça.	Yes, I like that.
Non, je n’aime pas ça.	No, I don’t like that.
Tu es d’accord?	Do you agree?
Je suis d’accord.	I agree.
Je ne suis pas d’accord.	I don’t agree.
C’est...	It’s...
génial	great
cool	cool
bien	good
ennuyeux 	boring
nul 	rubbish
essentiel	essential
important	important
Ce n’est pas bien.	It’s not good.
	
Moi et les autres	Me and other people
je suis	I am
je ne suis pas	I am not
tu es	you are
il/elle s’appelle	he/she is called
il/elle est	he/she is
beau/belle	good-looking
branché(e)	trendy
charmant(e) 	charming
cool	cool
curieux/curieuse	curious
de taille moyenne	average height
drôle 	funny
généreux/généreuse	generous
gentil(le)	nice
grand(e)	tall
impatient(e)	impatient
intelligent(e) 	intelligent
modeste	modest
petit(e)	small
poli(e) 	polite
	
Les yeux et les cheveux	Eyes and hair
j’ai	I have
tu as	you have
il/elle a	he/she has
mon ami(e) a	my friend has
J’ai les yeux bleus/verts/gris/marron.	I have blue/green/grey/brown eyes.
J’ai les cheveux longs/courts/mi-longs. 	I have long/short/medium-length hair.
frisés/raides	curly/straight
blonds/bruns/noirs/roux	blond/brown/black/red
	
Les mots essentiels	High-frequency words
et	and
aussi	also
mais	but
très	very
assez	quite
toujours	always
Qu’est-ce que...?	What...?
Qui...?	Who...?
