Module 5 – Holidays
Les vacances en famille	Family holidays
Tous les ans … 	Every year …
Normalement … 	Normally …
nous allons … 	we go …
en France	to France
en Espagne	to Spain
en Grèce	to Greece
en Italie	to Italy
aux États-Unis	to the USA
au Portugal	to Portugal
à la mer	to the seaside
à la montagne	to the mountains
à la campagne	to the countryside
Nous allons au restaurant.	We go to a restaurant.
Nous visitons des monuments.	We visit monuments.
Nous faisons du camping.	We go camping.
Nous faisons de la rando.	We go hiking.
Nous faisons de la natation.	We go swimming.
Nous faisons des activités sportives.	We do sports activities.
Nous restons en France.	We stay in France.
	
Je me prépare	I get myself ready
Je me douche.	I have a shower.
Je me fais une crête.	I make my hair spiky.
Je me parfume.	I put on perfume/aftershave.
Je m’habille.	I get dressed.
Je me brosse les cheveux.	I brush my hair.
Je me lave les dents.	I clean my teeth.
Je me regarde dans la glace.	I look in the mirror.
Je me rase.	I shave.
Je me maquille.	I put on make-up.
	
Les nombres et l’argent	Numbers and money
quarante	40
quarante-cinq	45
cinquante	50
cinquante-cinq	55
soixante	60
soixante-cinq	65
soixante-dix	70
soixante-quinze	75
quatre-vingts	80
quatre-vingt-cinq	85
quatre-vingt-dix	90
quatre-vingt-quinze	95
Tu as combien d’argent?	How much money have you got?
J’ai dix euros cinquante.	I’ve got ten euros fifty (cents).
	
Au café	At the café
J’ai faim et j’ai soif.	I’m hungry and I’m thirsty.
Vous désirez?	What would you like?
Je voudrais … 	I’d like …
un café	a black coffee
un café-crème	a white coffee
un thé (au lait/au citron)	a tea (with milk/lemon)
un chocolat chaud	a hot chocolate
un coca	a cola
un jus d’orange	an orange juice
un Orangina	an Orangina
une limonade	a lemonade
un sandwich au fromage	a cheese sandwich
un sandwich au jambon	a ham sandwich
un croquemonsieur	a toasted cheese and ham sandwich
une crêpe	a pancake
une glace (à la vanille/à la fraise/au chocolat)	a (vanilla/strawberry/chocolate) ice-cream
	
Qu’est-ce que tu vas faire?	What are you going to do?
Pendant les vacances … 	During the holidays …
je vais … 	I’m going to …
aller à la pêche	go fishing
danser	dance
faire de l’accrobranche	do treetop adventures
faire du karaoké	do karaoke
faire de la voile	go sailing
faire de la planche à voile	go wind-surfing
nager dans la mer	swim in the sea
rester au lit	stay in bed
retrouver mes copains/copines	get together with with my mates
	
Quels sont tes rêves?	What are your dreams?
Je voudrais aller … 	I’d like to go …
à Paris	to Paris
en Australie	to Australia
au Canada	to Canada
aux États-Unis	to the USA
Je voudrais … 	I’d like …
être footballeur professionnel	to be a professional football player (masculine)
être danseuse professionnelle	to be a professional dancer (feminine)
habiter dans une grande maison	to live in a big house
avoir une voiture très cool	to have a really cool car
faire le tour du monde	to travel around the world
rencontrer mon acteur/mon actrice préféré(e)	to meet my favourite actor/actress
	
Les mots essentiels	High-frequency words
pendant	during
combien (de)?	how much?/how many?
à	to/in (+ town)
en	to/in (+ feminine country)
au	to/in (+ masculine country)
aux	to/in (+ plural country)
