Module 1 – Media
À la télé	On TV
je regarde …	I watch …
les dessins animés	cartoons
les documentaires	documentaries
les émissions de sport	sports programmes
les émissions de télé-réalité	reality TV shows
les émissions musicales	music shows
les infos	the news
les jeux télévisés	game shows
la météo	the weather
les séries	series
les séries policières	police series
les séries américaines	American series
Mon émission préférée, c’est …	My favourite programme is …
j’adore	I love
j’aime bien	I like
je n’aime pas	I don’t like
je ne regarde jamais	I never watch
je ne rate jamais	I never miss
	
Les films	Films
j’aime …	I like …
je suis fan de …	I’m a fan of …
je ne suis pas fan de …	I’m not a fan of …
j’ai une passion pour les …	I have a passion for …
j’ai horreur des …	I really dislike …
je déteste …	I hate …
les comédies	comedies
les films d’action	action films
les films d’amour	romantic films
les films d’arts martiaux	martial-arts films
les films d’aventure	adventure films
les films fantastiques	fantasy films
les films d’horreur	horror films
les films de science-fiction	science-fiction films
mon acteur préféré, c’est …	my favourite actor is …
mon film préféré, c’est …	my favourite film is …
	
Qu’est-ce que tu lis?	What are you reading?
je lis …	I’m reading …
une BD	a comic book
un livre sur les animaux	a book on animals
un livre d’épouvante	a horror story
un magazine sur les célébrités 	a magazine about celebrities
un manga	a manga
un roman fantastique	a fantasy novel
un roman policier	a thriller
un roman d’amour	a love story
	
Les opinions	Opinions
à mon avis, c’est …	in my opinion, it’s …
je pense que c’est …	I think it’s …
je trouve ça … 	I find it …
amusant	funny
assez bien	quite good
barbant	boring
chouette	excellent
effrayant	frightening
émouvant	moving
ennuyeux	boring
génial	great
intéressant	interesting
nul	rubbish
passionnant	exciting
pratique	practical
stupide	stupid
formidable	great
idiot	stupid
	
Sur Internet	On the internet
J’envoie des e-mails.	I send emails.
Je fais beaucoup de choses.	I do lots of things.
Je fais des recherches pour mes devoirs.	I do research for my homework.
Je fais des achats.	I buy things.
Je fais des quiz.	I do quizzes.
Je joue à des jeux en ligne.	I play games online.
Je mets à jour ma page perso.	I update my homepage.
Je vais sur mes sites préférés.	I go onto my favourite sites.
Je vais sur des blogs.	I go onto blogs.
Je vais sur des forums.	I go onto forums.
	
Hier soir	Last night
J’ai discuté.	I discussed/chatted.
J’ai écouté la radio.	I listened to the radio.
J’ai envoyé des SMS.	I sent text messages.
J’ai joué à des jeux en ligne.	I played games online.
J’ai posté des photos.	I posted photos.
J’ai regardé la télé/des clips vidéo.	I watched TV/video clips.
J’ai surfé sur Internet.	I surfed the net.
J’ai tchatté sur MSN.	I chatted on MSN.
J’ai téléchargé des chansons.	I downloaded some songs.
	
Les mots essentiels	High-frequency words
assez	quite
aussi	also
car	because
comme	as
et	and
mais	but
très	very
un peu	a bit
parce que	because
par exemple	for example
surtout	above all
	
Expressions of time and frequency	
d’habitude	usually
de temps en temps	from time to time
en ce moment 	at the moment
quelquefois	sometimes
souvent 	often
tous les jours	every day
une ou deux fois par mois	once or twice a month
Sequencers	
après (le dîner)	after (dinner)
avant (de me coucher)	before (I go to bed)
d’abord 	first
ensuite 	next
puis	then
un peu plus tard	a bit later
