Module 4 – Where I live
Les domiciles	Homes
j’habite	I live
la maison	house
l’appartement (m)	flat
la rue	street/road
à la campagne	in the country
dans un village	in a village
dans une ville	in a town
	
Les adjectifs	Adjectives
petit 	small
grand	big
beau/belle	beautiful
joli(e)	pretty
vieux/vieille	old
nouveau/nouvelle	new
neuf/neuve	brand new
moderne	modern
confortable	comfortable
gros(se)	big (for animals and objects)/fat
	
Les pièces	Rooms
Chez moi, il y a …	In my home, there is/are …
la chambre (de mes parents/de ma sœur)	my parents’/my sister’s) bedroom
ma chambre	my bedroom
la cuisine	kitchen
le jardin	garden
la salle à manger	dining room
la salle de bains	bathroom
le salon	living room
les toilettes	toilet
Il n’y a pas de …	There isn’t a …/There aren’t any …
	
Les meubles et les appareils	Furniture and appliances
l’armoire (f)	wardrobe
le bureau	desk
le canapé/la chaise	sofa/chair
la douche	shower
la fenêtre	window
le frigo	fridge
le lavabo	wash basin
le lit	bed
la machine à laver	washing machine
la télé (satellite)	(satellite) TV
	
Les prépositions	Prepositions
dans/devant	in/in front of
derrière	behind
entre	between
sous	under(neath)
sur	on
à côté de	next to
à droite de/à gauche de	on the right of/on the left of
en face de	opposite
	
Le petit déjeuner	Breakfast
Qu’est-ce que tu prends pour le petit déjeuner?	What do you have for breakfast?
Je mange/Je prends …	I eat/I have …
du beurre / du pain	butter/bread
de la confiture	jam
des céréales	cereals
un croissant	a croissant
un pain au chocolat	a pain au chocolat
une baguette	a baguette
une brioche	a brioche (sweet loaf)
une tartine	a slice of bread and butter
Je bois/Je prends …	I drink/I have …
du café/du lait/du thé	coffee/milk/tea
du chocolat chaud	hot chocolate
du jus d’orange	orange juice
	
Le dîner	Evening meal
du fromage/du poisson	cheese/fish
du poulet/du riz	chicken/rice
de la soupe	soup
de la viande	meat
des crêpes	pancakes
des crudités	crudités
des escargots	snails
des légumes	vegetables
des pâtes	pasta
des plats à emporter	takeaway food
des pommes de terre	potatoes
des tomates	tomatoes
un fruit	a piece of fruit
un steak-frites	steak and chips
un yaourt	a yoghurt
une mousse au chocolat	a chocolate mousse
Je suis végétarien(ne).	I’m a vegetarian.
	
Les provisions	Food shopping
Il faut acheter …	I/We/You must buy …
du chocolat	chocolate
du fromage / du jambon	cheese/ham
de la crème Chantilly	whipped cream
de la farine	flour
des bananes	bananas
des champignons	mushrooms
des fraises	strawberries
des œufs	eggs
des pommes	apples
	
Les quantités	Quantities
un litre de …	a litre of …
un paquet de …	a packet of …
une tranche de …	a slice of …
cinq cents grammes de …	500 grams of …
un kilo de …	a kilo of …
une tablette de …	a bar of …
une bombe de …	a spray can of …
	
Les mots essentiels	High-frequency words
chez (exemple: chez moi)	at someone’s home (e.g. at my home)
ici 	here
là	there
là-bas	over there
voici	here is/here are
plus	more
moins	less
il y a	there is/there are
pour	for
